verbLemma,theme,verbSense
toss,the jacket,Transfer Posession
toss,a glance,Abstract
toss,the ball,Transfer Posession
toss,something,Transfer Posession
tow,a van,Transfer Posession
tow,a boat,Transfer Posession
tow,the truck,Transfer Posession
tow,the car,Transfer Posession
tow,something,Transfer Posession
trade,some food,Transfer Posession
trade,something,Transfer Posession
trade,the job,Transfer Posession
trade,the apples,Transfer Posession
trade,some pictures,Transfer Posession
truck,the fruit,Transfer Posession
truck,some milk,Transfer Posession
truck,something,Transfer Posession
truck,the packages,Transfer Posession
truck,some suitcases,Transfer Posession
tug,the chair,Transfer Posession
tug,the hamper,Transfer Posession
tug,a canoe,Transfer Posession
tug,something,Transfer Posession
tug,a kayak,Transfer Posession
wheel,the cement,Transfer Posession
wheel,some potatoes,Transfer Posession
wheel,the buckets,Transfer Posession
wheel,some fruit,Transfer Posession
wheel,something,Transfer Posession
will,the estate,Transfer Posession
will,the house,Transfer Posession
will,a painting,Transfer Posession
will,her entire fortune,Transfer Posession
will,something,Transfer Posession
wire,the rent,Transfer Posession
wire,some money,Transfer Posession
wire,something,Transfer Posession
wire,the payment,Transfer Posession
wire,some funds,Transfer Posession
write,the message,Communication
write,a check,Communication
write,the letter,Communication
write,a note,Communication
write,something,Communication
yield,the floor,Abstract
yield,something,Abstract
yield,the time,Abstract
yield,some peace,Abstract
yield,some comfort,Abstract
